구별,계,남자,여자
강남구,565550,270726,294824
강동구,449019,223488,225531
강북구,326686,160353,166333
강서구,597248,291249,305999
관악구,507203,256090,251113
광진구,357211,174599,182612
구로구,416487,207114,209373
금천구,236353,120334,116019
노원구,565565,275211,290354
도봉구,346629,170289,176340
동대문구,354079,177021,177058
동작구,400456,195775,204681
마포구,378566,181346,197220
서대문구,314982,152613,162369
서초구,445994,214036,231958
성동구,"303,380","150,076","153,304"
성북구,449773,219545,230228
송파구,660584,321676,338908
양천구,475949,235278,240671
영등포구,368072,183705,184367
용산구,"229,456","111,167","118,289"
은평구,489943,238337,251606
종로구,"153,589","75,611","77,978"
중구,"124,312","61,656","62,656"
중랑구,409882,204265,205617
